Agency,ContactEmail,ContactName,ContactPhone,CustomId,ProjectNumber,ProjectType,additional_information,award_description,awarded_to,contract_amount,published_date,sub_contract_award
"Bridgewater State UniversityProcurement ServicesBoyden Hall Room 202Bridgewater, MA 02325",Notify email address listed when final publish date assigned.,Diane Chagnon,508-531-2213,CAN1/1/20161/10/201600001,RFB No. 10 (FY16-2),General Contract , ,"Automatic Door Maintenance and Repair:  All necessary elements required to provide automatic door maintenance, repair and service to all handicap entrances campus-wide.","E.Z. Access Door Systems, Inc., P.O. Box 1081, North Dighton, MA 02764; Pasek Corp., 9 West 3rd St., Boston, MA 02127.","$24,999.99", 1/6/2016, 
"Gloucester, City of Purchasing Department9 Dale Ave.Gloucester, MA 01930",Do not notify email address listed when final publish date assigned.,Donna Compton,978-281-9710,CAN1/1/20161/10/201600002,16072,General Contract , ,Refrigerator repairs as-needed for Gloucester Public Schools.,"Cooling & Heating Specialists, Inc.151A California St.Newton, MA 02458","$17,100", 1/6/2016, 
"Lynn, City ofPurchasing Department3 City Hall Square Room 205Lynn, MA 01091",Notify email address listed when final publish date assigned.,Charles E White,781-586-6893,CAN1/1/20161/10/201600003,03-214,General Contract , ,"Supply Alarm Installation Monitoring and Repair Services In Specific Buildings, Including Boilers, for the City Of Lynn Inspectional Services Department.","Instant Signal & Alarm Co. Inc.303 Highland Ave.Salem, MA 01970","$27,294.20", 1/6/2016, 
"Mental Health, Department of (DMH)Office of Engineering and Facilities Management25 Staniford St.Boston, MA 02114",Notify email address listed when final publish date assigned.,Sharon Moody,617-626-8025,CAN1/1/20161/10/201600004,FY16-011,General Contract , ,"Repair of Fire Damper Deficiencies at the H.C. Solomom Mental Health Center, 391 Varnum Ave., Lowell.","Unicon, Inc.9A Derby SquareSalem, MA 01970","$82,500", 1/6/2016, 
"Newton, City of 1000 Commonwealth Ave.Newton, MA 02459",Do not notify email address listed when final publish date assigned.,Nick Read,617-796-1220,CAN1/1/20161/10/201600005,16-22,General Contract , ,Waban Hill Communications Tower Equipment Building.,"Paul J. Rogan Co., Inc.25 Hayward St.Braintree, MA 02184","$721,000", 1/6/2016, 
"Public Health, Department of (DPH)Western Massachusetts Hospital91 East Mountain Rd.Westfield, MA 01085",Notify email address listed when final publish date assigned.,Brian Sallisky,413-784-9129,CAN1/1/20161/10/201600006,DPH1552,General Contract , ,Replacement of Western Massachusetts Hospital's Quarry Hill pumping station with a gravity system.,"Sage Engineering & Contracting, Inc.199 Servistar Industrial WayWestfield, MA 01085","$174,800", 1/6/2016, 
"Boston, City ofHousing Authority (BHA)52 Chauncy St.Boston, MA 02111",Notify email address listed when final publish date assigned.,Ben Liang,617-988-4038,CAN1/11/20161/20/201600000,1252-01,Designer Services , ,"Architect/Engineer Services for Basement Improvements at Franklin Field Development, Phase II.","S.T.V., Inc.321 Summer St. #7Boston, MA 02210","$107,300", 1/13/2016, 
"Boston, City of Public Facilities Department26 Court St. 10th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Patricia Lyons,617-635-4814,CAN1/11/20161/20/201600001,7071 Category #3,Designer Services , ,FY'2016 - FY'2018 House Doctor Consulting Services:  Provide Landscape Architecture/Civil Consulting Services on an as-needed basis.,"Hammer & Walsh Design, Inc.300 A St.Boston, MA 02210","$900,000", 1/13/2016, 
"Boston, City of Public SchoolsFacilities Management1216 Dorchester Ave.Dorchester, MA 02125",Notify email address listed when final publish date assigned.,Laura Junior,617-635-9125,CAN1/11/20161/20/201600002, ,Designer Services , ,New Smoke Doors at Winship School.,"W.C.I. Corp.555 Amory St. Suite 3RBoston, MA 02130","$253,000", 1/13/2016, 
"Correction, Department of (DOC)Division of Resource Management50 Maple St. Suite 3Milford, MA 01757",Do not notify email address listed when final publish date assigned.,"Jeffrey Quick, Director",508-422-3300,CAN1/11/20161/20/201600003,DRM 2009-HD2,Designer Services , ,"Study and Design of Mechanical, Electrical, Plumbing and Fire Protection Repairs and Renovations at Various DOC Facilities, State-wide (DSB List #09-09, Item #3) (House Doctor).","MacRitchie Engineering, Inc.197 Quincy Ave.Braintree, MA 02184","$500,000", 1/13/2016, 
